Community Id, Degree
664006, 108161320
661354, 12756652
653762, 12741425
652794, 11824516
650822, 10304786
650830, 10223207
650282, 9843693
659019, 9636361
648906, 9103247
661646, 8696762
656578, 8643299
649876, 8635119
660448, 8548268
643217, 8531289
649277, 8304640
646467, 8145605
646601, 8008525
646457, 7937570
655297, 7864028
656293, 7748964
662541, 7734458
647361, 7671503
654692, 7473607
646443, 7386591
644803, 6981648
645070, 6755229
651333, 6715444
655187, 6699372
646614, 6578271
641906, 6260204
644289, 6232663
643516, 6209649
641437, 6183833
645207, 6151817
644280, 6067555
656690, 5837370
636074, 5836502
653769, 5823898
628126, 5770360
33351, 5747064
630873, 5679108
636069, 5599366
645193, 5585674
16464, 5567281
640634, 5560320
638559, 5464590
619966, 5332926
632379, 5196663
655378, 5169225
659444, 5130271
